# 未分类频道列表 (按源分类分组)

未分类,#genre#
CGTN英语,http://171.213.225.244:4022/udp/239.93.0.104:5140
CGTN英语,http://180.165.27.52:8686/rtp/239.45.1.194:5140
CGTN英语,http://183.236.43.98:4111/udp/239.77.0.199:5146
CGTN英语,http://218.1.171.151:4022/rtp/239.45.1.194:5140
CGTN英语,http://218.86.185.3:8188/rtp/238.255.2.207:5999
CGTN英语,http://218.86.187.64:4022/rtp/238.255.2.207:5999
CGTN英语,http://220.167.170.149:4000/rtp/239.120.1.161:9024
CGTN英语,http://220.169.100.41:10087/udp/239.76.245.66:1234
CGTN英语,http://220.169.100.41:10087/udp/239.76.252.66:9000
CGTN英语,http://220.169.109.72:802/udp/239.76.245.66:1234
CGTN英语,http://220.169.109.72:802/udp/239.76.252.66:9000
CGTN英语,http://221.10.226.195:5000/rtp/239.0.0.49:5140
CGTN英语,http://222.82.207.185:8188/udp/238.125.5.69:5140
CGTN英语,http://223.198.246.247:4000/rtp/239.253.64.17:5140
CGTN英语,http://27.184.64.107:58888/rtp/239.254.200.12:8056
CGTN英语,http://36.46.98.189:8025/rtp/239.111.205.32:5140
CGTN英语,http://36.46.98.4:8025/rtp/239.111.205.32:5140
CGTN英语,http://39.65.177.250:4022/rtp/239.253.254.189:8000
CGTN英语,http://42.228.37.147:8190/rtp/225.1.5.34:1344
CGTN英语,http://58.32.33.197:4022/rtp/239.45.1.194:5140
CGTN英语,http://58.46.30.89:8188/udp/239.76.245.66:1234
CGTN英语,http://58.46.30.89:8188/udp/239.76.252.66:9000
CGTN英语,http://61.140.124.88:10022/udp/239.77.0.199:5146
CGTN英语,http://61.159.134.254:18000/rtp/238.255.2.207:5999
CGTN英语,http://61.159.134.62:4022/rtp/238.255.2.207:5999
CGTN英语,http://61.159.135.98:4022/rtp/238.255.2.207:5999
CGTN西班牙语,http://106.116.127.5:4022/rtp/239.254.201.209:4220
CGTN西班牙语,http://106.116.242.252:9999/rtp/239.254.201.209:4220
CGTN西班牙语,http://106.45.2.14:4000/rtp/239.121.4.137:8020
CGTN西班牙语,http://106.59.2.81:55555/udp/239.200.201.184:4220
CGTN西班牙语,http://106.59.3.118:55555/udp/239.200.201.184:4220
CGTN西班牙语,http://111.123.103.198:8881/rtp/238.255.2.209:5999
CGTN西班牙语,http://111.226.232.106:10010/rtp/239.254.201.209:4220
CGTN西班牙语,http://113.119.27.49:58888/udp/239.77.0.221:5146
CGTN西班牙语,http://113.120.170.217:4022/udp/239.21.2.32:5002
CGTN西班牙语,http://113.120.46.204:8123/udp/239.21.2.32:5002
CGTN西班牙语,http://113.128.128.140:8688/udp/239.21.2.32:5002
CGTN西班牙语,http://114.241.222.27:4022/rtp/239.3.1.217:4220
CGTN西班牙语,http://114.241.244.154:4022/rtp/239.3.1.217:4220
CGTN西班牙语,http://114.254.35.218:18888/rtp/239.3.1.217:4220
CGTN西班牙语,http://114.254.35.246:8888/rtp/239.3.1.217:4220
CGTN西班牙语,http://116.21.205.63:8188/udp/239.77.0.221:5146
CGTN西班牙语,http://117.39.37.72:4022/rtp/239.111.205.33:5140
CGTN西班牙语,http://117.40.96.241:8008/udp/239.252.219.196:5140
CGTN西班牙语,http://121.29.141.88:4022/rtp/239.253.93.196:6374
CGTN西班牙语,http://121.29.169.217:7777/rtp/239.253.93.196:6374
CGTN西班牙语,http://121.29.169.217:8888/rtp/239.253.93.196:6374
CGTN西班牙语,http://121.29.169.237:7777/rtp/239.253.93.196:6374
CGTN西班牙语,http://121.29.169.237:8888/rtp/239.253.93.196:6374
CGTN西班牙语,http://121.29.169.9:7777/rtp/239.253.93.196:6374
CGTN西班牙语,http://121.29.169.9:8888/rtp/239.253.93.196:6374
CGTN西班牙语,http://121.29.215.215:7777/rtp/239.253.93.196:6374
CGTN西班牙语,http://121.29.215.215:8888/rtp/239.253.93.196:6374
CGTN西班牙语,http://123.168.94.104:4000/udp/239.21.2.32:5002
CGTN西班牙语,http://125.71.164.143:6868/udp/239.93.42.49:5140
CGTN西班牙语,http://125.76.196.134:8899/rtp/239.111.205.33:5140
CGTN西班牙语,http://125.76.196.201:8899/rtp/239.111.205.33:5140
CGTN西班牙语,http://125.76.196.51:8899/rtp/239.111.205.33:5140
CGTN西班牙语,http://125.76.196.59:8899/rtp/239.111.205.33:5140
CGTN西班牙语,http://171.113.209.201:4022/rtp/239.69.1.234:11046
CGTN西班牙语,http://171.213.216.99:4022/udp/239.93.42.49:5140
CGTN西班牙语,http://171.213.225.213:4022/udp/239.93.42.49:5140
CGTN西班牙语,http://171.213.225.244:4022/udp/239.93.42.49:5140
CGTN西班牙语,http://183.236.43.98:4111/udp/239.77.0.221:5146
CGTN西班牙语,http://218.86.185.3:8188/rtp/238.255.2.209:5999
